"spende","datum"
50,2017-09-22
50,2017-09-22
20,2017-09-22
50,2017-09-22
20,2017-09-22
30,2017-09-22
30,2017-09-22
200,2017-09-22
30,2017-09-22
100,2017-09-22
20,2017-09-22
200,2017-09-22
20,2017-09-22
10,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-22
100,2017-09-22
100,2017-09-22
70,2017-09-22
14,2017-09-22
5,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
50,2017-09-22
200,2017-09-22
50,2017-09-22
10,2017-09-22
1000,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
20,2017-09-22
40,2017-09-22
30,2017-09-22
100,2017-09-22
100,2017-09-22
100,2017-09-22
10,2017-09-22
20,2017-09-22
100,2017-09-22
20,2017-09-22
10,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-22
70,2017-09-22
100,2017-09-22
30,2017-09-22
30,2017-09-22
100,2017-09-22
100,2017-09-22
300,2017-09-22
10,2017-09-22
50,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
100,2017-09-22
40,2017-09-22
100,2017-09-22
10,2017-09-22
30,2017-09-22
50,2017-09-22
20,2017-09-22
30,2017-09-22
20,2017-09-22
30,2017-09-22
10,2017-09-22
10,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
10,2017-09-22
25,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-22
30,2017-09-22
30,2017-09-22
100,2017-09-22
20,2017-09-22
10,2017-09-22
10,2017-09-22
20,2017-09-22
20,2017-09-22
100,2017-09-22
50,2017-09-22
10,2017-09-22
15,2017-09-22
30,2017-09-22
20,2017-09-22
100,2017-09-22
150,2017-09-22
30,2017-09-22
10,2017-09-22
100,2017-09-22
15,2017-09-22
50,2017-09-22
50,2017-09-22
20,2017-09-22
20,2017-09-22
100,2017-09-22
50,2017-09-22
40,2017-09-22
30,2017-09-22
100,2017-09-22
40,2017-09-22
3000,2017-09-22
10,2017-09-22
50,2017-09-22
20,2017-09-22
100,2017-09-22
20,2017-09-22
10,2017-09-22
20,2017-09-22
50,2017-09-22
20,2017-09-22
100,2017-09-22
100,2017-09-22
10,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-22
100,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-21
50,2017-09-21
100,2017-09-21
2000,2017-09-21
20,2017-09-21
20,2017-09-21
100,2017-09-21
100,2017-09-21
50,2017-09-20
30,2017-09-20
100,2017-09-20
50,2017-09-20
50,2017-09-20
25,2017-09-20
25,2017-09-20
50,2017-09-20
50,2017-09-20
15,2017-09-20
20,2017-09-20
10,2017-09-20
50,2017-09-20
30,2017-09-20
30,2017-09-20
50,2017-09-20
50,2017-09-20
50,2017-09-20
100,2017-09-20
20,2017-09-20
200,2017-09-20
30,2017-09-20
100,2017-09-20
50,2017-09-20
300,2017-09-20
10,2017-09-20
20,2017-09-20
20,2017-09-20
10,2017-09-20
10,2017-09-20
100,2017-09-20
100,2017-09-20
100,2017-09-20
20,2017-09-20
30,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
15,2017-09-20
50,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
25,2017-09-20
100,2017-09-20
50,2017-09-20
30,2017-09-20
30,2017-09-20
50,2017-09-20
20,2017-09-20
100,2017-09-20
100,2017-09-20
50,2017-09-20
5,2017-09-20
100,2017-09-20
150,2017-09-20
100,2017-09-20
50,2017-09-20
25,2017-09-20
100,2017-09-20
20,2017-09-20
30,2017-09-20
100,2017-09-20
5,2017-09-20
20,2017-09-20
100,2017-09-20
30,2017-09-20
30,2017-09-20
10,2017-09-20
10,2017-09-20
50,2017-09-20
5,2017-09-20
40,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
50,2017-09-20
30,2017-09-20
30,2017-09-20
100,2017-09-20
20,2017-09-20
50,2017-09-20
100,2017-09-20
50,2017-09-20
30,2017-09-20
